display_name,pdl_name,type
"Juncos, Puerto Rico","juncos, puerto rico, puerto rico",city
"Wesley Chapel, North Carolina","wesley chapel, north carolina, united states",city
"Plymouth, Wisconsin","plymouth, wisconsin, united states",city
"Seneca, South Carolina","seneca, south carolina, united states",city
"Northwest Harborcreek, Pennsylvania","northwest harborcreek, pennsylvania, united states",city
"Evergreen, Montana","evergreen, montana, united states",city
"Skidaway Island, Georgia","skidaway island, georgia, united states",city
"North Merritt Island, Florida","north merritt island, florida, united states",city
"Poteau, Oklahoma","poteau, oklahoma, united states",city
"Cortez, Colorado","cortez, colorado, united states",city
"Caldwell, New Jersey","caldwell, new jersey, united states",city
"Greenville, Michigan","greenville, michigan, united states",city
"Oxford, North Carolina","oxford, north carolina, united states",city
"Oak Island, North Carolina","oak island, north carolina, united states",city
"Summit, Washington","summit, washington, united states",city
"Beaver Falls, Pennsylvania","beaver falls, pennsylvania, united states",city
"Bainbridge, Ohio","bainbridge, ohio, united states",city
"Village St. George, Louisiana","village st. george, louisiana, united states",city
"Lansdowne, Maryland","lansdowne, maryland, united states",city
"Warrenton, Missouri","warrenton, missouri, united states",city
"East York, Pennsylvania","east york, pennsylvania, united states",city
"Blacklick Estates, Ohio","blacklick estates, ohio, united states",city
"Clayton, New Jersey","clayton, new jersey, united states",city
"Olney, Illinois","olney, illinois, united states",city
"Clanton, Alabama","clanton, alabama, united states",city
"Whippany, New Jersey","whippany, new jersey, united states",city
"Collingdale, Pennsylvania","collingdale, pennsylvania, united states",city
"Signal Mountain, Tennessee","signal mountain, tennessee, united states",city
"Larkfield-Wikiup, California","larkfield-wikiup, california, united states",city
"Bee Cave, Texas","bee cave, texas, united states",city
"Pleasant Hill, Missouri","pleasant hill, missouri, united states",city
"Harwood Heights, Illinois","harwood heights, illinois, united states",city
"Marina del Rey, California","marina del rey, california, united states",city
"Thief River Falls, Minnesota","thief river falls, minnesota, united states",city
"Andalusia, Alabama","andalusia, alabama, united states",city
"Pearsall, Texas","pearsall, texas, united states",city
"Bloomingdale, Tennessee","bloomingdale, tennessee, united states",city
"Panthersville, Georgia","panthersville, georgia, united states",city
"Pitman, New Jersey","pitman, new jersey, united states",city
"Rockwood, Virginia","rockwood, virginia, united states",city
"St. Pete Beach, Florida","st. pete beach, florida, united states",city
"Winslow, Arizona","winslow, arizona, united states",city
"Bayport, New York","bayport, new york, united states",city
"Montecito, California","montecito, california, united states",city
"Carbondale, Pennsylvania","carbondale, pennsylvania, united states",city
"Woodmoor, Colorado","woodmoor, colorado, united states",city
"Park Forest Village, Pennsylvania","park forest village, pennsylvania, united states",city
"Fort Valley, Georgia","fort valley, georgia, united states",city
"Savoy, Illinois","savoy, illinois, united states",city
"Aransas Pass, Texas","aransas pass, texas, united states",city
"Baxter, Minnesota","baxter, minnesota, united states",city
"Boonton, New Jersey","boonton, new jersey, united states",city
"Brownfield, Texas","brownfield, texas, united states",city
"Valley Cottage, New York","valley cottage, new york, united states",city
"Bath, Maine","bath, maine, united states",city
"Madison Park, New Jersey","madison park, new jersey, united states",city
"Highland Park, Michigan","highland park, michigan, united states",city
"Paloma Creek South, Texas","paloma creek south, texas, united states",city
"Hernando, Florida","hernando, florida, united states",city
"Monmouth, Illinois","monmouth, illinois, united states",city
"Whitehouse, Texas","whitehouse, texas, united states",city
"Hoquiam, Washington","hoquiam, washington, united states",city
"Fort Irwin, California","fort irwin, california, united states",city
"Hope, Arkansas","hope, arkansas, united states",city
"Dock Junction, Georgia","dock junction, georgia, united states",city
"Dunn Loring, Virginia","dunn loring, virginia, united states",city
"Topanga, California","topanga, california, united states",city
"Edgemere, Maryland","edgemere, maryland, united states",city
"Maysville, Kentucky","maysville, kentucky, united states",city
"Highland Park, Texas","highland park, texas, united states",city
"Guntersville, Alabama","guntersville, alabama, united states",city
"Redlands, Colorado","redlands, colorado, united states",city
"Graham, Texas","graham, texas, united states",city
"Franklin, New Hampshire","franklin, new hampshire, united states",city
"North Haledon, New Jersey","north haledon, new jersey, united states",city
"Coffeyville, Kansas","coffeyville, kansas, united states",city
"Altoona, Wisconsin","altoona, wisconsin, united states",city
"Milton, Washington","milton, washington, united states",city
"Toppenish, Washington","toppenish, washington, united states",city
"Mascoutah, Illinois","mascoutah, illinois, united states",city
"Temple Hills, Maryland","temple hills, maryland, united states",city
"Lancaster, South Carolina","lancaster, south carolina, united states",city
"Presque Isle, Maine","presque isle, maine, united states",city
"Hillview, Kentucky","hillview, kentucky, united states",city
"Rodeo, California","rodeo, california, united states",city
"Smithfield, Virginia","smithfield, virginia, united states",city
"Village Green-Green Ridge, Pennsylvania","village green-green ridge, pennsylvania, united states",city
"Irondale, Georgia","irondale, georgia, united states",city
"Cameron, Missouri","cameron, missouri, united states",city
"Jeannette, Pennsylvania","jeannette, pennsylvania, united states",city
"Glencoe, Illinois","glencoe, illinois, united states",city
"Fort Knox, Kentucky","fort knox, kentucky, united states",city
"Wyoming, Ohio","wyoming, ohio, united states",city
"Millersville, Pennsylvania","millersville, pennsylvania, united states",city
"Port Jervis, New York","port jervis, new york, united states",city
"Lake Villa, Illinois","lake villa, illinois, united states",city
"Shelby, Ohio","shelby, ohio, united states",city
"White Meadow Lake, New Jersey","white meadow lake, new jersey, united states",city
"Anthony, New Mexico","anthony, new mexico, united states",city
"Othello, Washington","othello, washington, united states",city
"Audubon, New Jersey","audubon, new jersey, united states",city
"York, South Carolina","york, south carolina, united states",city
"Milliken, Colorado","milliken, colorado, united states",city
"Leisure World, Maryland","leisure world, maryland, united states",city
"Stevensville, Maryland","stevensville, maryland, united states",city
"Derby, Colorado","derby, colorado, united states",city
"Spring Hill, Kansas","spring hill, kansas, united states",city
"Rock Falls, Illinois","rock falls, illinois, united states",city
"Arizona City, Arizona","arizona city, arizona, united states",city
"Vega Alta, Puerto Rico","vega alta, puerto rico, puerto rico",city
"Orosi, California","orosi, california, united states",city
"Fort Mitchell, Kentucky","fort mitchell, kentucky, united states",city
"Midland, Washington","midland, washington, united states",city
"Providence, Utah","providence, utah, united states",city
"Perry Heights, Ohio","perry heights, ohio, united states",city
"Wharton, Texas","wharton, texas, united states",city
"Park Hills, Missouri","park hills, missouri, united states",city
"Bryan, Ohio","bryan, ohio, united states",city
"South Lockport, New York","south lockport, new york, united states",city
"Tecumseh, Michigan","tecumseh, michigan, united states",city
"Cheviot, Ohio","cheviot, ohio, united states",city
"Evergreen, Colorado","evergreen, colorado, united states",city
"Laughlin, Nevada","laughlin, nevada, united states",city
"Clarendon Hills, Illinois","clarendon hills, illinois, united states",city
"Aibonito, Puerto Rico","aibonito, puerto rico, puerto rico",city
"Olmsted Falls, Ohio","olmsted falls, ohio, united states",city
"Cumberland Hill, Rhode Island","cumberland hill, rhode island, united states",city
"Livingston, Montana","livingston, montana, united states",city
"East Foothills, California","east foothills, california, united states",city
"Chanute, Kansas","chanute, kansas, united states",city
"Perryton, Texas","perryton, texas, united states",city
"Montvale, New Jersey","montvale, new jersey, united states",city
"Montrose, Virginia","montrose, virginia, united states",city
"Glenwood, Illinois","glenwood, illinois, united states",city
"Highland Heights, Ohio","highland heights, ohio, united states",city
"Fair Lakes, Virginia","fair lakes, virginia, united states",city
"Covington, Tennessee","covington, tennessee, united states",city
"Templeton, California","templeton, california, united states",city
"Harrisburg, Illinois","harrisburg, illinois, united states",city
"Monona, Wisconsin","monona, wisconsin, united states",city
"Long Hill, Connecticut","long hill, connecticut, united states",city
"Fort Riley, Kansas","fort riley, kansas, united states",city
"Fern Park, Florida","fern park, florida, united states",city
"Conning Towers Nautilus Park, Connecticut","conning towers nautilus park, connecticut, united states",city
"Miramar Beach, Florida","miramar beach, florida, united states",city
"Greenville, Rhode Island","greenville, rhode island, united states",city
"Beebe, Arkansas","beebe, arkansas, united states",city
"Sonterra, Texas","sonterra, texas, united states",city
"West Long Branch, New Jersey","west long branch, new jersey, united states",city
"Sutherlin, Oregon","sutherlin, oregon, united states",city
"Arab, Alabama","arab, alabama, united states",city
"Gering, Nebraska","gering, nebraska, united states",city
"Hollymead, Virginia","hollymead, virginia, united states",city
"Murphy, Missouri","murphy, missouri, united states",city
"Baltimore Highlands, Maryland","baltimore highlands, maryland, united states",city
"Napoleon, Ohio","napoleon, ohio, united states",city
"Innsbrook, Virginia","innsbrook, virginia, united states",city
"La Cresta, California","la cresta, california, united states",city
"Corrales, New Mexico","corrales, new mexico, united states",city
"Wedgefield, Florida","wedgefield, florida, united states",city
"Skiatook, Oklahoma","skiatook, oklahoma, united states",city
"Sallisaw, Oklahoma","sallisaw, oklahoma, united states",city
"Ellsworth, Maine","ellsworth, maine, united states",city
"Summit Park, Utah","summit park, utah, united states",city
"Closter, New Jersey","closter, new jersey, united states",city
"Socorro, New Mexico","socorro, new mexico, united states",city
"Olivette, Missouri","olivette, missouri, united states",city
"Old Forge, Pennsylvania","old forge, pennsylvania, united states",city
"Delavan, Wisconsin","delavan, wisconsin, united states",city
"Perryville, Missouri","perryville, missouri, united states",city
"Lamesa, Texas","lamesa, texas, united states",city
"Gonzales, California","gonzales, california, united states",city
"Ahuimanu, Hawaii","ahuimanu, hawaii, united states",city
"Sangaree, South Carolina","sangaree, south carolina, united states",city
"Cedar Hills, Oregon","cedar hills, oregon, united states",city
"Dunn, North Carolina","dunn, north carolina, united states",city
"Georgetown, South Carolina","georgetown, south carolina, united states",city
"Murillo, Texas","murillo, texas, united states",city
"Minnetrista, Minnesota","minnetrista, minnesota, united states",city
"Hondo, Texas","hondo, texas, united states",city
"Beecher, Michigan","beecher, michigan, united states",city
"Lewistown, Pennsylvania","lewistown, pennsylvania, united states",city
"Swissvale, Pennsylvania","swissvale, pennsylvania, united states",city
"Seffner, Florida","seffner, florida, united states",city
"Malverne, New York","malverne, new york, united states",city
"Temperance, Michigan","temperance, michigan, united states",city
"Fort Lupton, Colorado","fort lupton, colorado, united states",city
"Ephrata, Washington","ephrata, washington, united states",city
"Hampton, Georgia","hampton, georgia, united states",city
"Liberty, Texas","liberty, texas, united states",city
"Conover, North Carolina","conover, north carolina, united states",city
"Pukalani, Hawaii","pukalani, hawaii, united states",city
"Bellwood, Virginia","bellwood, virginia, united states",city
"Kenwood, Ohio","kenwood, ohio, united states",city
"Fruitland Park, Florida","fruitland park, florida, united states",city
"Gypsum, Colorado","gypsum, colorado, united states",city
"Village of Waukesha, Wisconsin","village of waukesha, wisconsin, united states",city
"Oak Grove, Missouri","oak grove, missouri, united states",city
"Richland Hills, Texas","richland hills, texas, united states",city
"Jefferson City, Tennessee","jefferson city, tennessee, united states",city
"August, California","august, california, united states",city
"Independence, Kansas","independence, kansas, united states",city
"Farmington, Arkansas","farmington, arkansas, united states",city
"Collinsville, Oklahoma","collinsville, oklahoma, united states",city
"Bemiss, Georgia","bemiss, georgia, united states",city
"Black Mountain, North Carolina","black mountain, north carolina, united states",city
"River Road, Oregon","river road, oregon, united states",city
"Clinton, Oklahoma","clinton, oklahoma, united states",city
"Barre, Vermont","barre, vermont, united states",city
"Farmingdale, New York","farmingdale, new york, united states",city
"Hastings-on-Hudson, New York","hastings-on-hudson, new york, united states",city
"Center Line, Michigan","center line, michigan, united states",city
"Harrison, Tennessee","harrison, tennessee, united states",city
"Lake Geneva, Wisconsin","lake geneva, wisconsin, united states",city
"Villanova, Pennsylvania","villanova, pennsylvania, united states",city
"Corbin, Kentucky","corbin, kentucky, united states",city
"Edgewood, Kentucky","edgewood, kentucky, united states",city
"Brook Highland, Alabama","brook highland, alabama, united states",city
"Northfield, New Jersey","northfield, new jersey, united states",city
"Plumas Lake, California","plumas lake, california, united states",city
"Grandview Heights, Ohio","grandview heights, ohio, united states",city
"Whitefish, Montana","whitefish, montana, united states",city
"Guadalupe, California","guadalupe, california, united states",city
"Kronenwetter, Wisconsin","kronenwetter, wisconsin, united states",city
"Pleasant Hills, Pennsylvania","pleasant hills, pennsylvania, united states",city
"Mont Belvieu, Texas","mont belvieu, texas, united states",city
"Miles City, Montana","miles city, montana, united states",city
"Mukwonago, Wisconsin","mukwonago, wisconsin, united states",city
"Dumbarton, Virginia","dumbarton, virginia, united states",city
"Sitka, Alaska","sitka, alaska, united states",city
"Wading River, New York","wading river, new york, united states",city
"Winnemucca, Nevada","winnemucca, nevada, united states",city
"Gilberts, Illinois","gilberts, illinois, united states",city
"Atmore, Alabama","atmore, alabama, united states",city
"Lock Haven, Pennsylvania","lock haven, pennsylvania, united states",city
"Westwego, Louisiana","westwego, louisiana, united states",city
"Crete, Illinois","crete, illinois, united states",city
"Dayton, Minnesota","dayton, minnesota, united states",city
"Oak Hills Place, Louisiana","oak hills place, louisiana, united states",city
"Hillsboro, Texas","hillsboro, texas, united states",city
"Menominee, Michigan","menominee, michigan, united states",city
"Westgate, Florida","westgate, florida, united states",city
"Los Altos Hills, California","los altos hills, california, united states",city
"Park City, Utah","park city, utah, united states",city
"Ogden, North Carolina","ogden, north carolina, united states",city
"Virginia, Minnesota","virginia, minnesota, united states",city
"Orrville, Ohio","orrville, ohio, united states",city
"Hood River, Oregon","hood river, oregon, united states",city
"Payette, Idaho","payette, idaho, united states",city
"Upper Saddle River, New Jersey","upper saddle river, new jersey, united states",city
"Parkville, Pennsylvania","parkville, pennsylvania, united states",city
"Eaton, Ohio","eaton, ohio, united states",city
"Austell, Georgia","austell, georgia, united states",city
"Stanwood, Washington","stanwood, washington, united states",city
"Hampshire, Illinois","hampshire, illinois, united states",city
"Scott, Louisiana","scott, louisiana, united states",city
"Princeton, Indiana","princeton, indiana, united states",city
"Waite Park, Minnesota","waite park, minnesota, united states",city
"Houghton, Michigan","houghton, michigan, united states",city
"Fort Stockton, Texas","fort stockton, texas, united states",city
"Kenilworth, New Jersey","kenilworth, new jersey, united states",city
"Shiprock, New Mexico","shiprock, new mexico, united states",city
"Cushing, Oklahoma","cushing, oklahoma, united states",city
"Newton, New Jersey","newton, new jersey, united states",city
"Clinton, North Carolina","clinton, north carolina, united states",city
"Sioux Center, Iowa","sioux center, iowa, united states",city
"Abingdon, Virginia","abingdon, virginia, united states",city
"Centerville, Georgia","centerville, georgia, united states",city
"Flushing, Michigan","flushing, michigan, united states",city
"Mayo, Maryland","mayo, maryland, united states",city
"Elwood, Indiana","elwood, indiana, united states",city
"Monticello, Arkansas","monticello, arkansas, united states",city
"St. Marys, Ohio","st. marys, ohio, united states",city
"Fort Lee, Virginia","fort lee, virginia, united states",city
"Good Hope, California","good hope, california, united states",city
"Twin Rivers, New Jersey","twin rivers, new jersey, united states",city
"Runnemede, New Jersey","runnemede, new jersey, united states",city
"Mount Joy, Pennsylvania","mount joy, pennsylvania, united states",city
"North Madison, Ohio","north madison, ohio, united states",city
"Trinidad, Colorado","trinidad, colorado, united states",city
"Senatobia, Mississippi","senatobia, mississippi, united states",city
"Pulaski, Tennessee","pulaski, tennessee, united states",city
"Firebaugh, California","firebaugh, california, united states",city
"Selah, Washington","selah, washington, united states",city
"Folsom, Pennsylvania","folsom, pennsylvania, united states",city
"Mila Doce, Texas","mila doce, texas, united states",city
"Edgewater, Maryland","edgewater, maryland, united states",city
"Lely Resort, Florida","lely resort, florida, united states",city
"Brookhaven, Pennsylvania","brookhaven, pennsylvania, united states",city
"Savage, Maryland","savage, maryland, united states",city
"Maryville, Illinois","maryville, illinois, united states",city
"St. Francis, Minnesota","st. francis, minnesota, united states",city
"Joshua, Texas","joshua, texas, united states",city
"Twin Lakes, Colorado","twin lakes, colorado, united states",city
"Duvall, Washington","duvall, washington, united states",city
"Druid Hills, Georgia","druid hills, georgia, united states",city
"Long Grove, Illinois","long grove, illinois, united states",city
"Tuba City, Arizona","tuba city, arizona, united states",city
"West Haven-Sylvan, Oregon","west haven-sylvan, oregon, united states",city
"Alondra Park, California","alondra park, california, united states",city
"Carl Junction, Missouri","carl junction, missouri, united states",city
"Seaford, Delaware","seaford, delaware, united states",city
"Orland, California","orland, california, united states",city
"Rhinelander, Wisconsin","rhinelander, wisconsin, united states",city
"Prien, Louisiana","prien, louisiana, united states",city
"Denison, Iowa","denison, iowa, united states",city
"Oak Hills, California","oak hills, california, united states",city
"Somers, Wisconsin","somers, wisconsin, united states",city
"Orange Beach, Alabama","orange beach, alabama, united states",city
"Dayton, New Jersey","dayton, new jersey, united states",city
"Mason, Michigan","mason, michigan, united states",city
"Rockton, Illinois","rockton, illinois, united states",city
"Castle Shannon, Pennsylvania","castle shannon, pennsylvania, united states",city
"Mount Rainier, Maryland","mount rainier, maryland, united states",city
"Helena Valley West Central, Montana","helena valley west central, montana, united states",city
"Wytheville, Virginia","wytheville, virginia, united states",city
"Stayton, Oregon","stayton, oregon, united states",city
"Auburn, Georgia","auburn, georgia, united states",city
"Prairie View, Texas","prairie view, texas, united states",city
"Wynne, Arkansas","wynne, arkansas, united states",city
"Hatboro, Pennsylvania","hatboro, pennsylvania, united states",city
"Rawlins, Wyoming","rawlins, wyoming, united states",city
"Price, Utah","price, utah, united states",city
"Bay Minette, Alabama","bay minette, alabama, united states",city
"Barberton, Washington","barberton, washington, united states",city
"Franklin, Virginia","franklin, virginia, united states",city
"Croton-on-Hudson, New York","croton-on-hudson, new york, united states",city
"Orono, Minnesota","orono, minnesota, united states",city
"Bellevue, Ohio","bellevue, ohio, united states",city
"Sans Souci, South Carolina","sans souci, south carolina, united states",city
"Winooski, Vermont","winooski, vermont, united states",city
"McGregor, Florida","mcgregor, florida, united states",city
"Oradell, New Jersey","oradell, new jersey, united states",city
"Wilson, Pennsylvania","wilson, pennsylvania, united states",city
"New Prague, Minnesota","new prague, minnesota, united states",city
"Milan, Tennessee","milan, tennessee, united states",city
"Gulf Hills, Mississippi","gulf hills, mississippi, united states",city
"Interlaken, California","interlaken, california, united states",city
"Sheboygan Falls, Wisconsin","sheboygan falls, wisconsin, united states",city
"Bellevue, Pennsylvania","bellevue, pennsylvania, united states",city
"North Star, Delaware","north star, delaware, united states",city
"Garden City Park, New York","garden city park, new york, united states",city
"Los Fresnos, Texas","los fresnos, texas, united states",city
"Richfield, Utah","richfield, utah, united states",city
"Hornell, New York","hornell, new york, united states",city
"Navasota, Texas","navasota, texas, united states",city
"Odessa, Florida","odessa, florida, united states",city
"Corning, California","corning, california, united states",city
"Lake of the Woods, Virginia","lake of the woods, virginia, united states",city
"Downingtown, Pennsylvania","downingtown, pennsylvania, united states",city
"Breinigsville, Pennsylvania","breinigsville, pennsylvania, united states",city
"University of California-Davis, California","university of california-davis, california, united states",city
"Rolling Hills Estates, California","rolling hills estates, california, united states",city
"Springfield, Florida","springfield, florida, united states",city
"Center Moriches, New York","center moriches, new york, united states",city
"Paris, Illinois","paris, illinois, united states",city
"Maplewood, Missouri","maplewood, missouri, united states",city
"Southwood Acres, Connecticut","southwood acres, connecticut, united states",city
"Johnstown, New York","johnstown, new york, united states",city
"Ketchikan, Alaska","ketchikan, alaska, united states",city
"Brentwood, Missouri","brentwood, missouri, united states",city
"Berkeley, Missouri","berkeley, missouri, united states",city
"Camp Hill, Pennsylvania","camp hill, pennsylvania, united states",city
"Cuero, Texas","cuero, texas, united states",city
"Roxboro, North Carolina","roxboro, north carolina, united states",city
"Lochbuie, Colorado","lochbuie, colorado, united states",city
"Pomona, New Jersey","pomona, new jersey, united states",city
"Cleveland, Texas","cleveland, texas, united states",city
"Travelers Rest, South Carolina","travelers rest, south carolina, united states",city
"Kalifornsky, Alaska","kalifornsky, alaska, united states",city
"Hillside, Illinois","hillside, illinois, united states",city
"Sequim, Washington","sequim, washington, united states",city
"Dormont, Pennsylvania","dormont, pennsylvania, united states",city
"Applewood, Colorado","applewood, colorado, united states",city
"Charlestown, Indiana","charlestown, indiana, united states",city
"Providence Village, Texas","providence village, texas, united states",city
"York, Nebraska","york, nebraska, united states",city
"Spotswood, New Jersey","spotswood, new jersey, united states",city
"Mahtomedi, Minnesota","mahtomedi, minnesota, united states",city
"Fairwood, Maryland","fairwood, maryland, united states",city
"Fort Belvoir, Virginia","fort belvoir, virginia, united states",city
"Leola, Pennsylvania","leola, pennsylvania, united states",city
"Plain City, Utah","plain city, utah, united states",city
"Kirby, Texas","kirby, texas, united states",city
"Scappoose, Oregon","scappoose, oregon, united states",city
"Sabana Seca, Puerto Rico","sabana seca, puerto rico, puerto rico",city
"Midway City, California","midway city, california, united states",city
"Lake Carmel, New York","lake carmel, new york, united states",city
"Alliance, Nebraska","alliance, nebraska, united states",city
"South San Gabriel, California","south san gabriel, california, united states",city
"Whitmore Lake, Michigan","whitmore lake, michigan, united states",city
"Bermuda Dunes, California","bermuda dunes, california, united states",city
"Butler, New Jersey","butler, new jersey, united states",city
"Sunnyvale, Texas","sunnyvale, texas, united states",city
"Albertville, Minnesota","albertville, minnesota, united states",city
"Brazil, Indiana","brazil, indiana, united states",city
"Middleborough Center, Massachusetts","middleborough center, massachusetts, united states",city
"Wyoming, Minnesota","wyoming, minnesota, united states",city
"Bondurant, Iowa","bondurant, iowa, united states",city
"Stuttgart, Arkansas","stuttgart, arkansas, united states",city
"Antigo, Wisconsin","antigo, wisconsin, united states",city
"Oak Hill, West Virginia","oak hill, west virginia, united states",city
"South Kensington, Maryland","south kensington, maryland, united states",city
"Fort Polk South, Louisiana","fort polk south, louisiana, united states",city
"Oberlin, Ohio","oberlin, ohio, united states",city
"Union, South Carolina","union, south carolina, united states",city
"Landen, Ohio","landen, ohio, united states",city
"Lucas, Texas","lucas, texas, united states",city
"Vinton, Virginia","vinton, virginia, united states",city
"Montpelier, Vermont","montpelier, vermont, united states",city
"South Weber, Utah","south weber, utah, united states",city
"Atco, New Jersey","atco, new jersey, united states",city
"Groesbeck, Ohio","groesbeck, ohio, united states",city
"Fort Dix, New Jersey","fort dix, new jersey, united states",city
"Wilmington Manor, Delaware","wilmington manor, delaware, united states",city
"Port Jefferson, New York","port jefferson, new york, united states",city
"Oak Brook, Illinois","oak brook, illinois, united states",city
"Camden, South Carolina","camden, south carolina, united states",city
"Pismo Beach, California","pismo beach, california, united states",city
"Island Lake, Illinois","island lake, illinois, united states",city
"Parkville, Missouri","parkville, missouri, united states",city
"Fletcher, North Carolina","fletcher, north carolina, united states",city
"Newport, Arkansas","newport, arkansas, united states",city
"Carnegie, Pennsylvania","carnegie, pennsylvania, united states",city
"Hillsdale, Michigan","hillsdale, michigan, united states",city
"Kaufman, Texas","kaufman, texas, united states",city
"Timnath, Colorado","timnath, colorado, united states",city
"North Bay Village, Florida","north bay village, florida, united states",city
"Latrobe, Pennsylvania","latrobe, pennsylvania, united states",city
"Golden Valley, Arizona","golden valley, arizona, united states",city
"Nevada, Missouri","nevada, missouri, united states",city
"Fruitvale, Colorado","fruitvale, colorado, united states",city
"Wahpeton, North Dakota","wahpeton, north dakota, united states",city
"Butner, North Carolina","butner, north carolina, united states",city
"Grand Blanc, Michigan","grand blanc, michigan, united states",city
"Brunswick, Maryland","brunswick, maryland, united states",city
"Greenbriar, Virginia","greenbriar, virginia, united states",city
"Piedmont, Oklahoma","piedmont, oklahoma, united states",city
"North Weeki Wachee, Florida","north weeki wachee, florida, united states",city
"Zebulon, North Carolina","zebulon, north carolina, united states",city
"Woodfin, North Carolina","woodfin, north carolina, united states",city
"Crestwood Village, New Jersey","crestwood village, new jersey, united states",city
"Waikele, Hawaii","waikele, hawaii, united states",city
"Emmett, Idaho","emmett, idaho, united states",city
"Oak Grove, Kentucky","oak grove, kentucky, united states",city
"Watsessing, New Jersey","watsessing, new jersey, united states",city
"Lexington, Tennessee","lexington, tennessee, united states",city
"Glenside, Pennsylvania","glenside, pennsylvania, united states",city
"Silvis, Illinois","silvis, illinois, united states",city
"Lincolnshire, Illinois","lincolnshire, illinois, united states",city
"Three Rivers, Michigan","three rivers, michigan, united states",city
"Moundsville, West Virginia","moundsville, west virginia, united states",city
"Wagoner, Oklahoma","wagoner, oklahoma, united states",city
"South Beloit, Illinois","south beloit, illinois, united states",city
"Gettysburg, Pennsylvania","gettysburg, pennsylvania, united states",city
"Perry, Iowa","perry, iowa, united states",city
"Congers, New York","congers, new york, united states",city
"Quincy, Washington","quincy, washington, united states",city
"Green, Oregon","green, oregon, united states",city
"Mount Ivy, New York","mount ivy, new york, united states",city
"Woodland Park, Colorado","woodland park, colorado, united states",city
"Cottage Grove, Wisconsin","cottage grove, wisconsin, united states",city
"Dexter, Missouri","dexter, missouri, united states",city
"Siler City, North Carolina","siler city, north carolina, united states",city
"Carrollton, Virginia","carrollton, virginia, united states",city
"Broadview, Illinois","broadview, illinois, united states",city
"South Boston, Virginia","south boston, virginia, united states",city
"Santa Clara, Utah","santa clara, utah, united states",city
"West Livingston, Texas","west livingston, texas, united states",city
"Dalhart, Texas","dalhart, texas, united states",city
"Ashland, Wisconsin","ashland, wisconsin, united states",city
"Jackson, Wisconsin","jackson, wisconsin, united states",city
"Basking Ridge, New Jersey","basking ridge, new jersey, united states",city
"Farr West, Utah","farr west, utah, united states",city
"Bernardsville, New Jersey","bernardsville, new jersey, united states",city
"Cumming, Georgia","cumming, georgia, united states",city
"Blair, Nebraska","blair, nebraska, united states",city
"West Dundee, Illinois","west dundee, illinois, united states",city
"White Knoll, South Carolina","white knoll, south carolina, united states",city
"Grove City, Pennsylvania","grove city, pennsylvania, united states",city
"Glastonbury Center, Connecticut","glastonbury center, connecticut, united states",city
"Waller, Washington","waller, washington, united states",city
"Enoch, Utah","enoch, utah, united states",city
"Thompson's Station, Tennessee","thompson's station, tennessee, united states",city
"Pinson, Alabama","pinson, alabama, united states",city
"Big Rapids, Michigan","big rapids, michigan, united states",city
"Lihue, Hawaii","lihue, hawaii, united states",city
"Ponchatoula, Louisiana","ponchatoula, louisiana, united states",city
"Round Lake Park, Illinois","round lake park, illinois, united states",city
"Yreka, California","yreka, california, united states",city
"Princeton, Illinois","princeton, illinois, united states",city
"Westlake Village, California","westlake village, california, united states",city
"Glen Ridge, New Jersey","glen ridge, new jersey, united states",city
"Robinwood, Maryland","robinwood, maryland, united states",city
"Quincy, Florida","quincy, florida, united states",city
"Jersey Village, Texas","jersey village, texas, united states",city
"Campbell, Ohio","campbell, ohio, united states",city
"St. Joseph, Michigan","st. joseph, michigan, united states",city
"Ripon, Wisconsin","ripon, wisconsin, united states",city
"Tyrone, Georgia","tyrone, georgia, united states",city
"Broadview Park, Florida","broadview park, florida, united states",city
"Humboldt, Tennessee","humboldt, tennessee, united states",city
"Grand Ledge, Michigan","grand ledge, michigan, united states",city
"St. Martin, Mississippi","st. martin, mississippi, united states",city
"Brevard, North Carolina","brevard, north carolina, united states",city
"Old Jefferson, Louisiana","old jefferson, louisiana, united states",city
"Harrisburg, South Dakota","harrisburg, south dakota, united states",city
"Four Corners, Maryland","four corners, maryland, united states",city
"Tuttle, Oklahoma","tuttle, oklahoma, united states",city
"Magalia, California","magalia, california, united states",city
"Half Moon, North Carolina","half moon, north carolina, united states",city
"Palmyra, Pennsylvania","palmyra, pennsylvania, united states",city
"Webster City, Iowa","webster city, iowa, united states",city
"Wildewood, Maryland","wildewood, maryland, united states",city
"Dry Run, Ohio","dry run, ohio, united states",city
"Etowah, North Carolina","etowah, north carolina, united states",city
"Lake Dallas, Texas","lake dallas, texas, united states",city
"Eden Isle, Louisiana","eden isle, louisiana, united states",city
"South Cleveland, Tennessee","south cleveland, tennessee, united states",city
"North Bend, Washington","north bend, washington, united states",city
"Bradford, Pennsylvania","bradford, pennsylvania, united states",city
"Bonner Springs, Kansas","bonner springs, kansas, united states",city
"Baldwinsville, New York","baldwinsville, new york, united states",city
"Jennings Lodge, Oregon","jennings lodge, oregon, united states",city
"Ancient Oaks, Pennsylvania","ancient oaks, pennsylvania, united states",city
"Manhasset, New York","manhasset, new york, united states",city
"Sky Lake, Florida","sky lake, florida, united states",city
"Kill Devil Hills, North Carolina","kill devil hills, north carolina, united states",city
"Park City, Kansas","park city, kansas, united states",city
