display_name,pdl_name,type
"Jackson, Mississippi","jackson, mississippi, united states",city
"Fayetteville, North Carolina","fayetteville, north carolina, united states",city
"Myrtle Beach, South Carolina","myrtle beach, south carolina, united states",city
"Henderson, Nevada","henderson, nevada, united states",city
"Mobile, Alabama","mobile, alabama, united states",city
"Lexington, Kentucky","lexington, kentucky, united states",city
"Lansing, Michigan","lansing, michigan, united states",city
"Savannah, Georgia","savannah, georgia, united states",city
"Youngstown, Ohio","youngstown, ohio, united states",city
"Ann Arbor, Michigan","ann arbor, michigan, united states",city
"Santa Ana, California","santa ana, california, united states",city
"Irvine, California","irvine, california, united states",city
"St. Paul, Minnesota","st. paul, minnesota, united states",city
"Poughkeepsie, New York","poughkeepsie, new york, united states",city
"Newark, New Jersey","newark, new jersey, united states",city
"Santa Rosa, California","santa rosa, california, united states",city
"Concord, North Carolina","concord, north carolina, united states",city
"Winter Haven, Florida","winter haven, florida, united states",city
"Asheville, North Carolina","asheville, north carolina, united states",city
"Canton, Ohio","canton, ohio, united states",city
"Lincoln, Nebraska","lincoln, nebraska, united states",city
"Flint, Michigan","flint, michigan, united states",city
"Lakeland, Florida","lakeland, florida, united states",city
"Jersey City, New Jersey","jersey city, new jersey, united states",city
"Anchorage, Alaska","anchorage, alaska, united states",city
"Springfield, Missouri","springfield, missouri, united states",city
"Plano, Texas","plano, texas, united states",city
"Lubbock, Texas","lubbock, texas, united states",city
"Davenport, Iowa","davenport, iowa, united states",city
"Reading, Pennsylvania","reading, pennsylvania, united states",city
"Shreveport, Louisiana","shreveport, louisiana, united states",city
"Chandler, Arizona","chandler, arizona, united states",city
"South Bend, Indiana","south bend, indiana, united states",city
"Wilmington, North Carolina","wilmington, north carolina, united states",city
"Chula Vista, California","chula vista, california, united states",city
"Rockford, Illinois","rockford, illinois, united states",city
"Eugene, Oregon","eugene, oregon, united states",city
"Salem, Oregon","salem, oregon, united states",city
"Gilbert, Arizona","gilbert, arizona, united states",city
"North Las Vegas, Nevada","north las vegas, nevada, united states",city
"Santa Clarita, California","santa clarita, california, united states",city
"Peoria, Illinois","peoria, illinois, united states",city
"Tallahassee, Florida","tallahassee, florida, united states",city
"Killeen, Texas","killeen, texas, united states",city
"St. Petersburg, Florida","st. petersburg, florida, united states",city
"Kennewick, Washington","kennewick, washington, united states",city
"Columbus, Georgia","columbus, georgia, united states",city
"Laredo, Texas","laredo, texas, united states",city
"Irving, Texas","irving, texas, united states",city
"Round Lake Beach, Illinois","round lake beach, illinois, united states",city
"Montgomery, Alabama","montgomery, alabama, united states",city
"Chesapeake, Virginia","chesapeake, virginia, united states",city
"Glendale, Arizona","glendale, arizona, united states",city
"Nashua, New Hampshire","nashua, new hampshire, united states",city
"York, Pennsylvania","york, pennsylvania, united states",city
"Garland, Texas","garland, texas, united states",city
"Rock Hill, South Carolina","rock hill, south carolina, united states",city
"Scottsdale, Arizona","scottsdale, arizona, united states",city
"Aguadilla, Puerto Rico","aguadilla, puerto rico, puerto rico",city
"Arlington, Virginia","arlington, virginia, united states",city
"Norfolk, Virginia","norfolk, virginia, united states",city
"Appleton, Wisconsin","appleton, wisconsin, united states",city
"Enterprise, Nevada","enterprise, nevada, united states",city
"Gulfport, Mississippi","gulfport, mississippi, united states",city
"Lafayette, Louisiana","lafayette, louisiana, united states",city
"Bremerton, Washington","bremerton, washington, united states",city
"Fremont, California","fremont, california, united states",city
"Green Bay, Wisconsin","green bay, wisconsin, united states",city
"Fargo, North Dakota","fargo, north dakota, united states",city
"Deltona, Florida","deltona, florida, united states",city
"Brownsville, Texas","brownsville, texas, united states",city
"Hialeah, Florida","hialeah, florida, united states",city
"San Bernardino, California","san bernardino, california, united states",city
"Tacoma, Washington","tacoma, washington, united states",city
"Gainesville, Florida","gainesville, florida, united states",city
"Spring Valley, Nevada","spring valley, nevada, united states",city
"Clarksville, Tennessee","clarksville, tennessee, united states",city
"College Station, Texas","college station, texas, united states",city
"Olympia, Washington","olympia, washington, united states",city
"Roanoke, Virginia","roanoke, virginia, united states",city
"Portland, Maine","portland, maine, united states",city
"Fontana, California","fontana, california, united states",city
"Spartanburg, South Carolina","spartanburg, south carolina, united states",city
"Moreno Valley, California","moreno valley, california, united states",city
"Frisco, Texas","frisco, texas, united states",city
"Yonkers, New York","yonkers, new york, united states",city
"Thousand Oaks, California","thousand oaks, california, united states",city
"Sioux Falls, South Dakota","sioux falls, south dakota, united states",city
"Hagerstown, Maryland","hagerstown, maryland, united states",city
"Evansville, Indiana","evansville, indiana, united states",city
"Amarillo, Texas","amarillo, texas, united states",city
"Kalamazoo, Michigan","kalamazoo, michigan, united states",city
"Lorain, Ohio","lorain, ohio, united states",city
"Galveston, Texas","galveston, texas, united states",city
"McKinney, Texas","mckinney, texas, united states",city
"Huntington, West Virginia","huntington, west virginia, united states",city
"Nampa, Idaho","nampa, idaho, united states",city
"Hickory, North Carolina","hickory, north carolina, united states",city
"Waterbury, Connecticut","waterbury, connecticut, united states",city
"Sunrise Manor, Nevada","sunrise manor, nevada, united states",city
"Grand Prairie, Texas","grand prairie, texas, united states",city
"Ocala, Florida","ocala, florida, united states",city
"Waco, Texas","waco, texas, united states",city
"Overland Park, Kansas","overland park, kansas, united states",city
"Frederick, Maryland","frederick, maryland, united states",city
"Huntington Beach, California","huntington beach, california, united states",city
"Santa Barbara, California","santa barbara, california, united states",city
"Peoria, Arizona","peoria, arizona, united states",city
"Cedar Rapids, Iowa","cedar rapids, iowa, united states",city
"Vancouver, Washington","vancouver, washington, united states",city
"Glendale, California","glendale, california, united states",city
"Gastonia, North Carolina","gastonia, north carolina, united states",city
"Spring Hill, Florida","spring hill, florida, united states",city
"Murfreesboro, Tennessee","murfreesboro, tennessee, united states",city
"Tempe, Arizona","tempe, arizona, united states",city
"Paradise, Nevada","paradise, nevada, united states",city
"Newport News, Virginia","newport news, virginia, united states",city
"Erie, Pennsylvania","erie, pennsylvania, united states",city
"Fort Lauderdale, Florida","fort lauderdale, florida, united states",city
"Gainesville, Georgia","gainesville, georgia, united states",city
"Aurora, Illinois","aurora, illinois, united states",city
"Mauldin, South Carolina","mauldin, south carolina, united states",city
"Ontario, California","ontario, california, united states",city
"Elk Grove, California","elk grove, california, united states",city
"Panama City, Florida","panama city, florida, united states",city
"Cary, North Carolina","cary, north carolina, united states",city
"Hemet, California","hemet, california, united states",city
"Danbury, Connecticut","danbury, connecticut, united states",city
"Rancho Cucamonga, California","rancho cucamonga, california, united states",city
"Salinas, California","salinas, california, united states",city
"Oceanside, California","oceanside, california, united states",city
"Vallejo, California","vallejo, california, united states",city
"High Point, North Carolina","high point, north carolina, united states",city
"Garden Grove, California","garden grove, california, united states",city
"Pembroke Pines, Florida","pembroke pines, florida, united states",city
"Lancaster, California","lancaster, california, united states",city
"Marysville, Washington","marysville, washington, united states",city
"Bayamón, Puerto Rico","bayamón, puerto rico, puerto rico",city
"Fredericksburg, Virginia","fredericksburg, virginia, united states",city
"Visalia, California","visalia, california, united states",city
"Tuscaloosa, Alabama","tuscaloosa, alabama, united states",city
"Palmdale, California","palmdale, california, united states",city
"Santa Cruz, California","santa cruz, california, united states",city
"Medford, Oregon","medford, oregon, united states",city
"Norwich, Connecticut","norwich, connecticut, united states",city
"Merced, California","merced, california, united states",city
"Manchester, New Hampshire","manchester, new hampshire, united states",city
"Odessa, Texas","odessa, texas, united states",city
"Muskegon, Michigan","muskegon, michigan, united states",city
"Leesburg, Florida","leesburg, florida, united states",city
"Lafayette, Indiana","lafayette, indiana, united states",city
"Hayward, California","hayward, california, united states",city
"Corona, California","corona, california, united states",city
"Paterson, New Jersey","paterson, new jersey, united states",city
"Alexandria, Virginia","alexandria, virginia, united states",city
"Macon, Georgia","macon, georgia, united states",city
"Lakewood, Colorado","lakewood, colorado, united states",city
"Springfield, Illinois","springfield, illinois, united states",city
"Kansas City, Kansas","kansas city, kansas, united states",city
"Burlington, North Carolina","burlington, north carolina, united states",city
"Warner Robins, Georgia","warner robins, georgia, united states",city
"Sunnyvale, California","sunnyvale, california, united states",city
"Hollywood, Florida","hollywood, florida, united states",city
"Roseville, California","roseville, california, united states",city
"New Bedford, Massachusetts","new bedford, massachusetts, united states",city
"South Lyon, Michigan","south lyon, michigan, united states",city
"Bellevue, Washington","bellevue, washington, united states",city
"Fairfield, California","fairfield, california, united states",city
"Binghamton, New York","binghamton, new york, united states",city
"Topeka, Kansas","topeka, kansas, united states",city
"Escondido, California","escondido, california, united states",city
"Joliet, Illinois","joliet, illinois, united states",city
"Surprise, Arizona","surprise, arizona, united states",city
"Naperville, Illinois","naperville, illinois, united states",city
"Pasadena, Texas","pasadena, texas, united states",city
"Mesquite, Texas","mesquite, texas, united states",city
"Champaign, Illinois","champaign, illinois, united states",city
"Pomona, California","pomona, california, united states",city
"Houma, Louisiana","houma, louisiana, united states",city
"Athens, Georgia","athens, georgia, united states",city
"St. George, Utah","st. george, utah, united states",city
"Beaumont, Texas","beaumont, texas, united states",city
"Elkhart, Indiana","elkhart, indiana, united states",city
"Lake Charles, Louisiana","lake charles, louisiana, united states",city
"Santa Maria, California","santa maria, california, united states",city
"Yuma, Arizona","yuma, arizona, united states",city
"Olathe, Kansas","olathe, kansas, united states",city
"Midland, Texas","midland, texas, united states",city
"Greeley, Colorado","greeley, colorado, united states",city
"Torrance, California","torrance, california, united states",city
"Thornton, Colorado","thornton, colorado, united states",city
"Las Cruces, New Mexico","las cruces, new mexico, united states",city
"Columbia, Missouri","columbia, missouri, united states",city
"Fullerton, California","fullerton, california, united states",city
"Grand Junction, Colorado","grand junction, colorado, united states",city
"Carolina, Puerto Rico","carolina, puerto rico, puerto rico",city
"Metairie, Louisiana","metairie, louisiana, united states",city
"Orange, California","orange, california, united states",city
"Warren, Michigan","warren, michigan, united states",city
"West Valley City, Utah","west valley city, utah, united states",city
"Hampton, Virginia","hampton, virginia, united states",city
"Pasadena, California","pasadena, california, united states",city
"Miramar, Florida","miramar, florida, united states",city
"Elizabeth, New Jersey","elizabeth, new jersey, united states",city
"Stamford, Connecticut","stamford, connecticut, united states",city
"Racine, Wisconsin","racine, wisconsin, united states",city
"Kent, Washington","kent, washington, united states",city
"Yakima, Washington","yakima, washington, united states",city
"Coral Springs, Florida","coral springs, florida, united states",city
"Sterling Heights, Michigan","sterling heights, michigan, united states",city
"Billings, Montana","billings, montana, united states",city
"Bloomington, Illinois","bloomington, illinois, united states",city
"Charleston, West Virginia","charleston, west virginia, united states",city
"Carrollton, Texas","carrollton, texas, united states",city
"Tyler, Texas","tyler, texas, united states",city
"Iowa City, Iowa","iowa city, iowa, united states",city
"Johnson City, Tennessee","johnson city, tennessee, united states",city
"Santa Clara, California","santa clara, california, united states",city
"Bellingham, Washington","bellingham, washington, united states",city
"Norman, Oklahoma","norman, oklahoma, united states",city
"Coeur d'Alene, Idaho","coeur d'alene, idaho, united states",city
"Fort Smith, Arkansas","fort smith, arkansas, united states",city
"Lewisville, Texas","lewisville, texas, united states",city
"Dover, Delaware","dover, delaware, united states",city
"Yuba City, California","yuba city, california, united states",city
"Lehigh Acres, Florida","lehigh acres, florida, united states",city
"Abilene, Texas","abilene, texas, united states",city
"Simi Valley, California","simi valley, california, united states",city
"Pearland, Texas","pearland, texas, united states",city
"Kenosha, Wisconsin","kenosha, wisconsin, united states",city
"Arecibo, Puerto Rico","arecibo, puerto rico, puerto rico",city
"Meridian, Idaho","meridian, idaho, united states",city
"Round Rock, Texas","round rock, texas, united states",city
"Waldorf, Maryland","waldorf, maryland, united states",city
"Temple, Texas","temple, texas, united states",city
"Lynchburg, Virginia","lynchburg, virginia, united states",city
"Rochester, Minnesota","rochester, minnesota, united states",city
"Logan, Utah","logan, utah, united states",city
"Arvada, Colorado","arvada, colorado, united states",city
"Clovis, California","clovis, california, united states",city
"Independence, Missouri","independence, missouri, united states",city
"Redding, California","redding, california, united states",city
"Greenville, North Carolina","greenville, north carolina, united states",city
"Duluth, Minnesota","duluth, minnesota, united states",city
"Berkeley, California","berkeley, california, united states",city
"Boulder, Colorado","boulder, colorado, united states",city
"Pueblo, Colorado","pueblo, colorado, united states",city
"West Palm Beach, Florida","west palm beach, florida, united states",city
"Burlington, Vermont","burlington, vermont, united states",city
"Seaside, California","seaside, california, united states",city
"Richardson, Texas","richardson, texas, united states",city
"Cambridge, Massachusetts","cambridge, massachusetts, united states",city
"Monroe, Louisiana","monroe, louisiana, united states",city
"North Charleston, South Carolina","north charleston, south carolina, united states",city
"Saginaw, Michigan","saginaw, michigan, united states",city
"Clearwater, Florida","clearwater, florida, united states",city
"The Woodlands, Texas","the woodlands, texas, united states",city
"Brandon, Florida","brandon, florida, united states",city
"St. Cloud, Minnesota","st. cloud, minnesota, united states",city
"West Jordan, Utah","west jordan, utah, united states",city
"Broken Arrow, Oklahoma","broken arrow, oklahoma, united states",city
"Harlingen, Texas","harlingen, texas, united states",city
"Kailua, Hawaii","kailua, hawaii, united states",city
"Westminster, Colorado","westminster, colorado, united states",city
"Gilroy, California","gilroy, california, united states",city
"Richmond, California","richmond, california, united states",city
"Mandeville, Louisiana","mandeville, louisiana, united states",city
"Utica, New York","utica, new york, united states",city
"Ponce, Puerto Rico","ponce, puerto rico, puerto rico",city
"League City, Texas","league city, texas, united states",city
"Port Arthur, Texas","port arthur, texas, united states",city
"Lowell, Massachusetts","lowell, massachusetts, united states",city
"East Los Angeles, California","east los angeles, california, united states",city
"Carlsbad, California","carlsbad, california, united states",city
"Elgin, Illinois","elgin, illinois, united states",city
"Waterloo, Iowa","waterloo, iowa, united states",city
"Leominster, Massachusetts","leominster, massachusetts, united states",city
"Bend, Oregon","bend, oregon, united states",city
"Sioux City, Iowa","sioux city, iowa, united states",city
"Gresham, Oregon","gresham, oregon, united states",city
"Longview, Texas","longview, texas, united states",city
"Pompano Beach, Florida","pompano beach, florida, united states",city
"Downey, California","downey, california, united states",city
"Murrieta, California","murrieta, california, united states",city
"Idaho Falls, Idaho","idaho falls, idaho, united states",city
"Miami Gardens, Florida","miami gardens, florida, united states",city
"Everett, Washington","everett, washington, united states",city
"Holland, Michigan","holland, michigan, united states",city
"Costa Mesa, California","costa mesa, california, united states",city
